iter	Logloss
0	0.6695160793
1	0.648122948
2	0.6286794779
3	0.6109834282
4	0.5947765652
5	0.5794208801
6	0.5657595881
7	0.5528726976
8	0.5409350823
9	0.5304693287
10	0.5204440409
11	0.511172701
12	0.5029312406
13	0.4954100096
14	0.488157348
15	0.4818265211
16	0.4759205784
17	0.4704342038
18	0.4655570494
19	0.4611720282
20	0.4570010975
21	0.4530666624
22	0.4494784854
23	0.4461635715
24	0.4431635109
25	0.4405085398
26	0.437715246
27	0.4354861303
28	0.4332871375
29	0.4310674976
30	0.4289197258
31	0.4269265876
32	0.4252020836
33	0.4235735842
34	0.4221167507
35	0.4208141414
36	0.4196174568
37	0.4184968056
38	0.4174277701
39	0.4164313662
40	0.4157059641
41	0.4148872774
42	0.4140515508
43	0.4132923406
44	0.4124929042
45	0.4118531899
46	0.4112022959
47	0.4107051575
48	0.4101749343
49	0.409652006
50	0.4090493791
51	0.408612682
52	0.4081967307
53	0.4078503951
54	0.4074708585
55	0.4071739081
56	0.4069086278
57	0.406641733
58	0.4063159802
59	0.4060586322
60	0.4058319024
61	0.4055949924
62	0.4053720246
63	0.4051249136
64	0.4049767557
65	0.4047798386
66	0.4045560206
67	0.4043631333
68	0.4042054269
69	0.40401809
70	0.4038981001
71	0.4037719193
72	0.4036637614
73	0.4035076688
74	0.40339991
75	0.4032875851
76	0.4031898403
77	0.4030885184
78	0.4029724329
79	0.4028659483
80	0.4027733273
81	0.4027112571
82	0.4026242208
83	0.4025276767
84	0.4024725965
85	0.4023613002
86	0.4022868173
87	0.4022075613
88	0.402092733
89	0.4020281117
90	0.4019885516
91	0.4019409407
92	0.4018767025
93	0.4018361797
94	0.4017580735
95	0.401712238
96	0.4016617978
97	0.4015852464
98	0.4015059369
99	0.4014351952
100	0.4013594253
101	0.4013362067
102	0.4012831089
103	0.4012337119
104	0.4011959199
105	0.4011758809
106	0.4011425178
107	0.4011018419
108	0.4010398593
109	0.4010152608
110	0.4009573149
111	0.4009223946
112	0.4008945489
113	0.4008782165
114	0.4008355851
115	0.4008276358
116	0.4008033073
117	0.4007585275
118	0.400714011
119	0.4006754517
120	0.4006617399
121	0.4006410853
122	0.4006308349
123	0.4005986161
124	0.400570903
125	0.4005407863
126	0.4005303246
127	0.4005289188
128	0.4004820691
129	0.4004775095
130	0.400456311
131	0.4004081627
132	0.4003905502
133	0.400387682
134	0.4003817193
135	0.4003458547
136	0.4003031093
137	0.40026773
138	0.4002361607
139	0.4002268913
140	0.4002108986
141	0.4001775761
142	0.4001741127
143	0.4001306666
144	0.400041795
145	0.4000365068
146	0.3999937794
147	0.3999731868
148	0.3999723343
149	0.399950135
150	0.3998847096
151	0.3998597021
152	0.3998393311
153	0.3997829418
154	0.3997662384
155	0.3997428031
156	0.399715061
157	0.3996802436
158	0.3996596844
159	0.399618574
160	0.3996020202
161	0.3996010263
162	0.3995817137
163	0.3995765654
164	0.3995678983
165	0.3995488631
166	0.3995259303
167	0.3995115566
168	0.3994862591
169	0.3994803505
170	0.3994615546
171	0.3994478255
172	0.3994226072
173	0.3993965018
174	0.3993845066
175	0.399358252
176	0.3993156813
177	0.3992938802
178	0.3992834612
179	0.3992223114
180	0.3992178298
181	0.3991986458
182	0.3991531756
183	0.3991198117
184	0.3991039347
185	0.3990726672
186	0.3990571816
187	0.3990459302
188	0.3990405702
189	0.3990223964
190	0.3989793241
191	0.3989598739
192	0.3989314533
193	0.3989130351
194	0.3988839355
195	0.3988679138
196	0.3988469249
197	0.3987918898
198	0.3987887101
199	0.3987832997
200	0.3987676289
201	0.39876321
202	0.3987535424
203	0.398738687
204	0.3987142588
205	0.3986889029
206	0.3986708154
207	0.3986446238
208	0.3986197871
209	0.3986184148
210	0.3985943899
211	0.3985876258
212	0.3985594609
213	0.3985477722
214	0.3985140016
215	0.3984873239
216	0.3984605338
217	0.3984433257
218	0.3984301848
219	0.3984030521
220	0.398389292
221	0.3983761962
222	0.3983399102
223	0.3983260297
224	0.39832358
225	0.3983235294
226	0.3983082486
227	0.3982881057
228	0.3982861158
229	0.3982772138
230	0.3982736276
231	0.3982521334
232	0.3982274321
233	0.3981867582
234	0.3981363704
235	0.3981347045
236	0.398092349
237	0.3980764633
238	0.3980469759
239	0.3979930013
240	0.3979821992
241	0.3979627201
242	0.3979571792
243	0.3979571947
244	0.3979393545
245	0.3979263427
246	0.3979059691
247	0.3978970394
248	0.3978875968
249	0.3978632069
250	0.3978604599
251	0.3978277805
252	0.3978112075
253	0.3978111585
254	0.3978057724
255	0.3977909624
256	0.3977586879
257	0.3977398337
258	0.3976955904
259	0.3976694774
260	0.3976363467
261	0.3975880992
262	0.397586778
263	0.3975720581
264	0.3975495178
265	0.3975444481
266	0.3975325612
267	0.397519833
268	0.397482682
269	0.3974496018
270	0.3974320774
271	0.3974158662
272	0.3973750442
273	0.3973293886
274	0.3973085984
275	0.3972589738
276	0.3972064729
277	0.3971517415
278	0.3971324799
279	0.3971289182
280	0.3970990424
281	0.397081815
282	0.3970268982
283	0.3969997127
284	0.3969809598
285	0.3969553904
286	0.3969122077
287	0.3968648291
288	0.3968524992
289	0.3967936282
290	0.3967776455
291	0.3967245212
292	0.3966792359
293	0.3966553672
294	0.3965977563
295	0.3965236894
296	0.3965213148
297	0.3964989917
298	0.3964622549
299	0.3964403047
300	0.3964006879
301	0.3963512512
302	0.3963337946
303	0.3962867045
304	0.3962560272
305	0.3962108572
306	0.3961683636
307	0.396151753
308	0.396106804
309	0.3960554964
310	0.3960328288
311	0.3959955262
312	0.3959669136
313	0.3959481793
314	0.3959198323
315	0.395898474
316	0.3958535469
317	0.395804088
318	0.3957643233
319	0.3957597194
320	0.3957206154
321	0.3956879936
322	0.3956533012
323	0.3956307926
324	0.3955869412
325	0.3955524826
326	0.3955064501
327	0.3954753017
328	0.3954495969
329	0.395407799
330	0.3954023092
331	0.3953872515
332	0.3953674653
333	0.3953309868
334	0.3952884
335	0.3952674152
336	0.3952168098
337	0.3951850342
338	0.3951784797
339	0.3951373192
340	0.3951074507
341	0.3950706372
342	0.3950478197
343	0.3950016484
344	0.3949829407
345	0.3949308802
346	0.394896942
347	0.3948656035
348	0.3948222488
349	0.3947888051
350	0.3947419622
351	0.3947080761
352	0.3946758117
353	0.3946725128
354	0.3946311552
355	0.3945753328
356	0.3945373025
357	0.3945358779
358	0.3945042337
359	0.3944541988
360	0.3944178424
361	0.3943860244
362	0.3943342925
363	0.3942974548
364	0.394258293
365	0.3942566469
366	0.3942197632
367	0.3941716324
368	0.394153211
369	0.3941332064
370	0.3941065302
371	0.3940901415
372	0.3940561407
373	0.394034544
374	0.3940011936
375	0.3939628412
376	0.393921301
377	0.3938676286
378	0.3938360618
379	0.3937952668
380	0.3937582788
381	0.3937507508
382	0.393742967
383	0.3937112708
384	0.3936702386
385	0.3936448776
386	0.3936098646
387	0.3935733219
388	0.3935508532
389	0.3935240519
390	0.3934989464
391	0.393467961
392	0.3934299768
393	0.3933966116
394	0.3933565578
395	0.3933143555
396	0.3932809347
397	0.393249451
398	0.3932151459
399	0.3931838087
400	0.3931324033
401	0.3930839863
402	0.3930524506
403	0.3930122023
404	0.3929791589
405	0.3929337841
406	0.3929024282
