iter	Passed	Remaining
0	13	13033
1	26	13269
2	34	11449
3	44	11040
4	50	10082
5	57	9530
6	65	9275
7	72	8963
8	78	8641
9	85	8476
10	91	8258
11	97	8025
12	103	7863
13	109	7718
14	115	7572
15	118	7310
16	124	7188
17	129	7072
18	133	6883
19	137	6754
20	142	6622
21	145	6459
22	150	6378
23	155	6305
24	158	6189
25	163	6119
26	167	6053
27	171	5939
28	175	5890
29	180	5838
30	185	5797
31	190	5753
32	195	5730
33	201	5718
34	206	5699
35	212	5693
36	218	5698
37	225	5713
38	229	5658
39	236	5675
40	240	5619
41	246	5633
42	252	5628
43	258	5608
44	263	5582
45	268	5566
46	273	5544
47	277	5495
48	280	5442
49	284	5413
50	289	5394
51	294	5373
52	299	5349
53	304	5328
54	309	5309
55	313	5284
56	318	5275
57	323	5254
58	327	5228
59	333	5219
60	337	5193
61	342	5176
62	347	5162
63	350	5129
64	355	5114
65	360	5099
66	365	5089
67	370	5076
68	374	5059
69	380	5048
70	384	5033
71	389	5015
72	394	5003
73	399	4994
74	403	4981
75	408	4970
76	412	4950
77	417	4937
78	422	4926
79	427	4913
80	432	4905
81	436	4891
82	441	4881
83	447	4875
84	452	4868
85	457	4863
86	462	4856
87	467	4846
88	472	4836
89	478	4834
90	482	4818
91	487	4806
92	492	4803
93	497	4796
94	502	4787
95	507	4780
96	512	4771
97	517	4763
98	522	4758
99	527	4749
100	532	4739
101	536	4725
102	541	4717
103	546	4708
104	554	4725
105	558	4708
106	562	4697
107	567	4688
108	572	4680
109	577	4670
110	581	4660
111	586	4648
112	590	4638
113	595	4629
114	600	4622
115	605	4616
116	611	4614
117	616	4605
118	621	4600
119	626	4591
120	629	4574
121	634	4567
122	638	4551
123	643	4544
124	648	4537
125	652	4529
126	658	4524
127	661	4506
128	666	4498
129	670	4483
130	674	4477
131	679	4471
132	684	4462
133	688	4447
134	691	4433
135	696	4426
136	702	4424
137	707	4419
138	712	4414
139	717	4405
140	721	4397
141	727	4394
142	730	4378
143	736	4375
144	741	4373
145	745	4361
146	751	4359
147	758	4365
148	762	4353
149	767	4347
150	773	4347
151	779	4348
152	784	4341
153	789	4336
154	794	4328
155	798	4321
156	803	4314
157	808	4309
158	813	4304
159	818	4296
160	822	4288
161	826	4274
162	830	4266
163	836	4262
164	840	4254
165	845	4247
166	850	4240
167	854	4232
168	859	4226
169	863	4216
170	868	4210
171	873	4203
172	877	4196
173	882	4190
174	887	4183
175	892	4178
176	897	4171
177	902	4166
178	906	4158
179	911	4152
180	916	4147
181	921	4139
182	925	4133
183	930	4128
184	935	4123
185	940	4116
186	945	4110
187	950	4104
188	954	4095
189	959	4089
190	964	4085
191	970	4083
192	975	4079
193	980	4075
194	985	4069
195	990	4063
196	996	4061
197	1001	4056
198	1006	4050
199	1010	4042
200	1015	4036
201	1019	4028
202	1024	4023
203	1029	4016
204	1034	4010
205	1038	4004
206	1043	3997
207	1048	3991
208	1053	3985
209	1057	3977
210	1061	3969
211	1066	3963
212	1070	3957
213	1075	3951
214	1080	3946
215	1085	3940
216	1090	3934
217	1095	3929
218	1100	3923
219	1105	3918
220	1108	3908
221	1113	3902
222	1118	3897
223	1123	3890
224	1127	3882
225	1129	3868
226	1134	3863
227	1139	3857
228	1143	3849
229	1147	3842
230	1152	3837
231	1157	3831
232	1162	3825
233	1166	3819
234	1171	3814
235	1175	3806
236	1181	3802
237	1186	3797
238	1190	3791
239	1195	3786
240	1198	3775
241	1203	3770
242	1208	3763
243	1211	3753
244	1217	3752
245	1222	3747
246	1228	3744
247	1233	3740
248	1240	3740
249	1245	3736
250	1249	3728
251	1255	3725
252	1261	3723
253	1264	3712
254	1268	3704
255	1273	3699
256	1277	3694
257	1282	3689
258	1287	3684
259	1292	3679
260	1297	3674
261	1302	3669
262	1306	3661
263	1311	3655
264	1316	3650
265	1320	3645
266	1325	3639
267	1330	3633
268	1335	3628
269	1340	3623
270	1344	3617
271	1349	3612
272	1354	3607
273	1359	3601
274	1364	3596
275	1369	3591
276	1374	3586
277	1379	3581
278	1383	3576
279	1387	3567
280	1392	3563
281	1397	3558
282	1402	3553
283	1407	3548
284	1412	3543
285	1417	3538
286	1422	3534
287	1427	3529
288	1432	3524
289	1437	3519
290	1442	3513
291	1446	3508
292	1452	3503
293	1456	3498
294	1462	3494
295	1467	3489
296	1471	3483
297	1476	3477
298	1481	3472
299	1485	3467
300	1490	3462
301	1496	3457
302	1501	3453
303	1506	3448
304	1511	3443
305	1516	3438
306	1521	3433
307	1525	3428
308	1530	3422
309	1535	3417
310	1540	3412
311	1545	3407
312	1549	3401
313	1554	3396
314	1559	3391
315	1564	3386
316	1570	3383
317	1576	3380
318	1580	3374
319	1585	3368
320	1590	3363
321	1595	3358
322	1599	3353
323	1604	3347
324	1609	3342
325	1614	3337
326	1619	3332
327	1624	3327
328	1629	3322
329	1633	3316
330	1638	3311
331	1643	3305
332	1647	3300
333	1652	3295
334	1657	3290
335	1662	3285
336	1667	3280
337	1671	3274
338	1676	3269
339	1681	3264
340	1686	3259
341	1693	3258
342	1699	3254
343	1704	3250
344	1710	3247
345	1717	3246
346	1722	3242
347	1728	3238
348	1734	3234
349	1739	3229
350	1744	3225
351	1749	3220
352	1754	3215
353	1758	3209
354	1763	3204
355	1768	3199
356	1773	3193
357	1777	3188
358	1782	3182
359	1787	3177
360	1792	3172
361	1797	3168
362	1802	3163
363	1807	3158
364	1812	3153
365	1817	3147
366	1821	3142
367	1826	3137
368	1831	3132
369	1836	3126
370	1841	3122
371	1846	3116
372	1851	3111
